================ Training Loss (Wed Sep 17 18:25:08 2025) ================
[Rank 0] (epoch: 28, iters: 150, time: 1.290, data: 0.001) , G_GAN: 1.718, G_L1: 7.429, D_real: 0.208, D_fake: 0.414

[Rank 0] (epoch: 29, iters: 100, time: 1.264, data: 7.655) , G_GAN: 1.430, G_L1: 9.010, D_real: 0.080, D_fake: 1.219

[Rank 0] (epoch: 30, iters: 50, time: 1.399, data: 0.002) , G_GAN: 1.433, G_L1: 6.278, D_real: 1.304, D_fake: 0.068

[Rank 0] (epoch: 30, iters: 150, time: 1.301, data: 0.001) , G_GAN: 2.418, G_L1: 8.051, D_real: 0.041, D_fake: 1.328

[Rank 0] (epoch: 31, iters: 100, time: 0.987, data: 7.204) , G_GAN: 1.494, G_L1: 6.811, D_real: 0.231, D_fake: 0.697

[Rank 0] (epoch: 32, iters: 50, time: 0.954, data: 0.001) , G_GAN: 0.973, G_L1: 7.136, D_real: 0.995, D_fake: 0.154

[Rank 0] (epoch: 32, iters: 150, time: 1.001, data: 0.001) , G_GAN: 1.577, G_L1: 7.936, D_real: 0.306, D_fake: 0.335

[Rank 0] (epoch: 33, iters: 100, time: 0.990, data: 7.364) , G_GAN: 1.255, G_L1: 4.482, D_real: 0.429, D_fake: 0.742

[Rank 0] (epoch: 34, iters: 50, time: 1.032, data: 0.001) , G_GAN: 1.747, G_L1: 7.473, D_real: 0.127, D_fake: 0.856

[Rank 0] (epoch: 34, iters: 150, time: 0.958, data: 0.000) , G_GAN: 2.043, G_L1: 12.406, D_real: 0.063, D_fake: 0.700

[Rank 0] (epoch: 35, iters: 100, time: 0.972, data: 6.432) , G_GAN: 0.798, G_L1: 5.845, D_real: 0.486, D_fake: 0.409

[Rank 0] (epoch: 36, iters: 50, time: 0.955, data: 0.000) , G_GAN: 1.061, G_L1: 6.066, D_real: 1.178, D_fake: 0.154

[Rank 0] (epoch: 36, iters: 150, time: 1.032, data: 0.003) , G_GAN: 2.022, G_L1: 8.769, D_real: 0.153, D_fake: 0.448

[Rank 0] (epoch: 37, iters: 100, time: 0.993, data: 6.770) , G_GAN: 0.956, G_L1: 4.685, D_real: 0.205, D_fake: 0.740

[Rank 0] (epoch: 38, iters: 50, time: 0.981, data: 0.001) , G_GAN: 1.301, G_L1: 5.196, D_real: 0.663, D_fake: 0.306

[Rank 0] (epoch: 38, iters: 150, time: 0.996, data: 0.001) , G_GAN: 1.571, G_L1: 6.314, D_real: 0.273, D_fake: 0.446

[Rank 0] (epoch: 39, iters: 100, time: 1.043, data: 7.061) , G_GAN: 1.547, G_L1: 5.816, D_real: 0.237, D_fake: 0.867

[Rank 0] (epoch: 40, iters: 50, time: 0.905, data: 0.001) , G_GAN: 1.133, G_L1: 6.721, D_real: 0.222, D_fake: 0.707

[Rank 0] (epoch: 40, iters: 150, time: 1.082, data: 0.001) , G_GAN: 1.178, G_L1: 6.691, D_real: 0.314, D_fake: 0.690

[Rank 0] (epoch: 41, iters: 100, time: 1.014, data: 8.253) , G_GAN: 1.518, G_L1: 4.328, D_real: 0.412, D_fake: 0.403

[Rank 0] (epoch: 42, iters: 50, time: 0.967, data: 0.001) , G_GAN: 1.473, G_L1: 7.210, D_real: 0.304, D_fake: 0.545

[Rank 0] (epoch: 42, iters: 150, time: 0.937, data: 0.002) , G_GAN: 0.929, G_L1: 4.067, D_real: 0.419, D_fake: 0.499

[Rank 0] (epoch: 43, iters: 100, time: 1.037, data: 6.864) , G_GAN: 1.109, G_L1: 8.806, D_real: 0.522, D_fake: 0.367

[Rank 0] (epoch: 44, iters: 50, time: 1.090, data: 0.000) , G_GAN: 0.955, G_L1: 6.076, D_real: 0.940, D_fake: 0.157

[Rank 0] (epoch: 44, iters: 150, time: 0.935, data: 0.001) , G_GAN: 0.873, G_L1: 4.473, D_real: 0.435, D_fake: 0.624

[Rank 0] (epoch: 45, iters: 100, time: 1.014, data: 6.704) , G_GAN: 0.797, G_L1: 5.466, D_real: 0.643, D_fake: 0.252

[Rank 0] (epoch: 46, iters: 50, time: 1.087, data: 0.003) , G_GAN: 0.849, G_L1: 3.971, D_real: 0.889, D_fake: 0.298

[Rank 0] (epoch: 46, iters: 150, time: 0.973, data: 0.001) , G_GAN: 0.726, G_L1: 3.527, D_real: 0.843, D_fake: 0.431

[Rank 0] (epoch: 47, iters: 100, time: 0.960, data: 6.596) , G_GAN: 0.796, G_L1: 4.662, D_real: 0.764, D_fake: 0.343

[Rank 0] (epoch: 48, iters: 50, time: 0.948, data: 0.001) , G_GAN: 0.748, G_L1: 3.224, D_real: 0.411, D_fake: 0.602

[Rank 0] (epoch: 48, iters: 150, time: 1.030, data: 0.001) , G_GAN: 0.855, G_L1: 4.860, D_real: 0.469, D_fake: 0.572

[Rank 0] (epoch: 49, iters: 100, time: 0.933, data: 7.382) , G_GAN: 1.113, G_L1: 3.873, D_real: 0.422, D_fake: 0.511

[Rank 0] (epoch: 50, iters: 50, time: 0.996, data: 0.001) , G_GAN: 1.293, G_L1: 4.847, D_real: 0.292, D_fake: 0.758

[Rank 0] (epoch: 50, iters: 150, time: 0.968, data: 0.001) , G_GAN: 1.240, G_L1: 6.852, D_real: 0.148, D_fake: 1.069

[Rank 0] (epoch: 51, iters: 100, time: 1.059, data: 7.097) , G_GAN: 0.758, G_L1: 3.186, D_real: 0.640, D_fake: 0.381

[Rank 0] (epoch: 52, iters: 50, time: 0.929, data: 0.000) , G_GAN: 0.800, G_L1: 5.192, D_real: 0.588, D_fake: 0.522

[Rank 0] (epoch: 52, iters: 150, time: 0.941, data: 0.001) , G_GAN: 1.499, G_L1: 9.946, D_real: 0.109, D_fake: 0.871

[Rank 0] (epoch: 53, iters: 100, time: 1.025, data: 6.715) , G_GAN: 1.165, G_L1: 5.418, D_real: 0.305, D_fake: 0.694

[Rank 0] (epoch: 54, iters: 50, time: 0.988, data: 0.001) , G_GAN: 1.784, G_L1: 6.876, D_real: 0.268, D_fake: 0.651

[Rank 0] (epoch: 54, iters: 150, time: 1.009, data: 0.000) , G_GAN: 1.627, G_L1: 9.471, D_real: 0.126, D_fake: 1.077

[Rank 0] (epoch: 55, iters: 100, time: 0.986, data: 7.097) , G_GAN: 1.127, G_L1: 3.526, D_real: 0.872, D_fake: 0.288

[Rank 0] (epoch: 56, iters: 50, time: 0.923, data: 0.001) , G_GAN: 0.767, G_L1: 3.061, D_real: 1.195, D_fake: 0.290

[Rank 0] (epoch: 56, iters: 150, time: 1.041, data: 0.001) , G_GAN: 0.866, G_L1: 4.511, D_real: 0.973, D_fake: 0.343

[Rank 0] (epoch: 57, iters: 100, time: 0.972, data: 6.627) , G_GAN: 1.800, G_L1: 6.151, D_real: 0.168, D_fake: 0.914

[Rank 0] (epoch: 58, iters: 50, time: 1.120, data: 0.001) , G_GAN: 0.886, G_L1: 4.023, D_real: 1.020, D_fake: 0.283

[Rank 0] (epoch: 58, iters: 150, time: 0.914, data: 0.001) , G_GAN: 0.920, G_L1: 9.367, D_real: 0.923, D_fake: 0.209

[Rank 0] (epoch: 59, iters: 100, time: 1.041, data: 7.197) , G_GAN: 1.270, G_L1: 7.797, D_real: 0.309, D_fake: 0.653

[Rank 0] (epoch: 60, iters: 50, time: 0.926, data: 0.001) , G_GAN: 1.157, G_L1: 4.175, D_real: 0.965, D_fake: 0.179

[Rank 0] (epoch: 60, iters: 150, time: 1.051, data: 0.001) , G_GAN: 0.986, G_L1: 3.196, D_real: 1.412, D_fake: 0.160

[Rank 0] (epoch: 61, iters: 100, time: 0.867, data: 6.635) , G_GAN: 0.727, G_L1: 3.013, D_real: 0.976, D_fake: 0.271

[Rank 0] (epoch: 62, iters: 50, time: 0.974, data: 0.001) , G_GAN: 1.148, G_L1: 6.639, D_real: 0.463, D_fake: 0.592

[Rank 0] (epoch: 62, iters: 150, time: 2.924, data: 0.001) , G_GAN: 1.516, G_L1: 7.627, D_real: 0.074, D_fake: 2.253

[Rank 0] (epoch: 63, iters: 100, time: 2.386, data: 12.097) , G_GAN: 0.639, G_L1: 3.702, D_real: 1.506, D_fake: 0.167

[Rank 0] (epoch: 64, iters: 50, time: 3.045, data: 0.002) , G_GAN: 0.963, G_L1: 7.232, D_real: 0.675, D_fake: 0.428

[Rank 0] (epoch: 64, iters: 150, time: 3.041, data: 0.004) , G_GAN: 0.738, G_L1: 3.020, D_real: 0.669, D_fake: 0.406

[Rank 0] (epoch: 65, iters: 100, time: 2.962, data: 11.574) , G_GAN: 1.345, G_L1: 9.568, D_real: 0.108, D_fake: 1.163

[Rank 0] (epoch: 66, iters: 50, time: 2.835, data: 0.001) , G_GAN: 0.897, G_L1: 4.342, D_real: 0.543, D_fake: 0.525

[Rank 0] (epoch: 66, iters: 150, time: 2.951, data: 0.005) , G_GAN: 1.417, G_L1: 4.991, D_real: 0.358, D_fake: 0.897

[Rank 0] (epoch: 67, iters: 100, time: 3.089, data: 11.109) , G_GAN: 0.632, G_L1: 3.238, D_real: 1.155, D_fake: 0.248

[Rank 0] (epoch: 68, iters: 50, time: 2.739, data: 0.001) , G_GAN: 1.314, G_L1: 5.708, D_real: 0.247, D_fake: 0.745

[Rank 0] (epoch: 68, iters: 150, time: 2.702, data: 0.004) , G_GAN: 0.773, G_L1: 2.931, D_real: 1.046, D_fake: 0.223

[Rank 0] (epoch: 69, iters: 100, time: 2.602, data: 10.659) , G_GAN: 1.064, G_L1: 5.599, D_real: 0.506, D_fake: 0.467

[Rank 0] (epoch: 70, iters: 50, time: 3.019, data: 0.001) , G_GAN: 1.757, G_L1: 5.981, D_real: 0.072, D_fake: 1.828

[Rank 0] (epoch: 70, iters: 150, time: 2.457, data: 0.002) , G_GAN: 0.293, G_L1: 4.254, D_real: 0.986, D_fake: 0.376

[Rank 0] (epoch: 71, iters: 100, time: 2.720, data: 16.194) , G_GAN: 0.594, G_L1: 2.540, D_real: 0.874, D_fake: 0.373

[Rank 0] (epoch: 72, iters: 50, time: 2.772, data: 0.002) , G_GAN: 1.475, G_L1: 4.601, D_real: 0.119, D_fake: 1.406

[Rank 0] (epoch: 72, iters: 150, time: 2.818, data: 0.001) , G_GAN: 1.053, G_L1: 3.964, D_real: 0.721, D_fake: 0.434

[Rank 0] (epoch: 73, iters: 100, time: 2.603, data: 15.940) , G_GAN: 0.985, G_L1: 4.647, D_real: 0.436, D_fake: 0.476

[Rank 0] (epoch: 74, iters: 50, time: 2.547, data: 0.002) , G_GAN: 0.844, G_L1: 3.388, D_real: 0.774, D_fake: 0.386

[Rank 0] (epoch: 74, iters: 150, time: 2.531, data: 0.003) , G_GAN: 0.877, G_L1: 2.814, D_real: 1.420, D_fake: 0.172

[Rank 0] (epoch: 75, iters: 100, time: 2.720, data: 14.350) , G_GAN: 0.821, G_L1: 3.340, D_real: 0.469, D_fake: 0.679

[Rank 0] (epoch: 76, iters: 50, time: 2.685, data: 0.001) , G_GAN: 0.921, G_L1: 3.081, D_real: 0.351, D_fake: 0.935

[Rank 0] (epoch: 76, iters: 150, time: 2.523, data: 0.002) , G_GAN: 1.086, G_L1: 4.236, D_real: 0.465, D_fake: 0.584

[Rank 0] (epoch: 77, iters: 100, time: 2.431, data: 14.072) , G_GAN: 0.886, G_L1: 3.534, D_real: 1.129, D_fake: 0.213

[Rank 0] (epoch: 78, iters: 50, time: 3.047, data: 0.002) , G_GAN: 1.234, G_L1: 4.831, D_real: 0.661, D_fake: 0.420

[Rank 0] (epoch: 78, iters: 150, time: 2.513, data: 0.001) , G_GAN: 1.035, G_L1: 4.514, D_real: 0.650, D_fake: 0.445

[Rank 0] (epoch: 79, iters: 100, time: 2.415, data: 15.732) , G_GAN: 0.902, G_L1: 4.047, D_real: 1.131, D_fake: 0.229

[Rank 0] (epoch: 80, iters: 50, time: 1.663, data: 0.002) , G_GAN: 0.632, G_L1: 3.086, D_real: 1.161, D_fake: 0.235

